Nro pre-imagens: 20
Janela entropia: 2x4
Regras versão 2
regra	entropia_nucleo_regra	entropia_maxima	entropia_minima	entropia_media	entropia_desvio_padrao	perc0_maximo	perc0_minimo	perc0_medio	perc0_desvio_padrao	regra_alterada	entropia_regra_alterada
0000000000000000:CIMA	-0,000	0000000000000000	-0,000	0,037	0,037	0,037	0,000	99,609	99,609	99,609	0,000
1111111111111111:CIMA	-0,000	1111111111111111	-0,000	0,037	0,037	0,037	0,000	99,609	99,609	99,609	0,000
1111111100000000:CIMA	0,637	1000000001111111	0,637	0,137	0,137	0,137	0,000	98,047	98,047	98,047	0,000
0000000011111111:CIMA	0,637	0111111110000000	0,637	0,137	0,137	0,137	0,000	98,047	98,047	98,047	0,000
1010101010101010:CIMA	0,250	1010101010100101	0,637	0,066	0,066	0,066	0,000	99,219	99,219	99,219	0,000
0101010101010101:CIMA	0,250	0101010101011010	0,637	0,066	0,066	0,066	0,000	99,219	99,219	99,219	0,000
1100110011001100:CIMA	0,500	1011000110011001	0,695	0,091	0,091	0,091	0,000	98,828	98,828	98,828	0,000
1110001110001100:CIMA	0,726	1011000011101100	0,906	0,912	0,816	0,881	0,013	67,578	46,875	56,188	3,089
1111000011110000:CIMA	0,750	1100001110001110	0,812	0,194	0,194	0,194	0,000	96,875	96,875	96,875	0,000
0110110011010111:CIMA	0,777	0101110110011101	0,812	0,913	0,833	0,881	0,012	64,844	47,656	56,168	2,944
1111010010010101:CIMA	0,812	1101010010011110	0,875	0,914	0,818	0,881	0,013	65,234	48,047	56,364	2,873
0011001011111000:CIMA	0,906	0110001110100110	0,832	0,914	0,810	0,880	0,013	67,578	45,312	56,307	2,910
0001001010011000:CIMA	0,832	0110000010100010	0,844	0,910	0,831	0,881	0,012	66,016	44,922	56,216	2,830
1100001010000111:CIMA	0,875	1001110010101000	0,844	0,914	0,825	0,881	0,012	67,188	47,656	56,352	2,855
1100101001101001:CIMA	0,832	1010011100101001	0,832	0,912	0,830	0,881	0,013	64,453	46,875	56,063	2,908
1111011011000110:CIMA	0,777	1001100110111110	0,844	0,915	0,826	0,882	0,012	67,188	46,484	56,004	2,984
1110111010111001:CIMA	0,789	1110011010111101	0,844	0,919	0,825	0,881	0,013	66,797	46,484	56,178	3,026
0110000110100010:CIMA	0,844	0000101011001100	0,832	0,917	0,824	0,881	0,013	66,016	45,703	56,309	2,901
1110001010100000:CIMA	0,844	1000001010101100	0,832	0,914	0,775	0,880	0,013	66,406	46,484	56,243	2,911
0110111110110011:CIMA	0,746	0100111011111101	0,801	0,921	0,815	0,881	0,013	65,625	48,047	56,283	2,896
1001010011011110:CIMA	0,875	1111100110010010	0,832	0,917	0,835	0,880	0,013	65,625	46,875	56,374	2,950
1100010010001110:CIMA	0,875	1011100010011000	0,875	0,911	0,805	0,880	0,013	66,406	46,484	56,500	2,905
0110101101001011:CIMA	0,715	0010110101101101	0,715	0,912	0,677	0,875	0,022	71,484	43,750	56,889	3,257
1011010100100110:CIMA	0,769	1001101001010110	0,769	0,914	0,833	0,881	0,012	66,016	47,656	56,225	2,929
1111101011101101:CIMA	0,715	1011011110101111	0,715	0,914	0,829	0,881	0,012	67,188	47,656	56,296	2,952
0011101100000101:CIMA	0,969	0001010001100111	0,875	0,915	0,832	0,881	0,012	64,844	47,266	56,080	2,947
0111100010001110:CIMA	0,812	0011100010001111	0,812	0,910	0,829	0,881	0,012	64,844	46,484	56,284	2,968
0001101010011110:CIMA	0,938	0111100010100011	0,938	0,915	0,831	0,881	0,013	65,625	47,656	56,219	2,920
1011101100101001:CIMA	0,875	1010011001100111	0,789	0,911	0,830	0,881	0,012	66,016	46,094	56,155	2,939
0010110101101000:CIMA	0,812	0010001101010101	0,769	0,917	0,814	0,881	0,012	67,578	47,656	56,362	2,897
0000101000011000:CIMA	0,756	0110000000100001	0,725	0,910	0,286	0,871	0,037	92,969	46,484	57,478	4,143
