Nro pre-imagens: 20
Janela entropia: 2x4
Regras versão 2
regra	entropia_nucleo_regra	entropia_maxima	entropia_minima	entropia_media	entropia_desvio_padrao	perc0_maximo	perc0_minimo	perc0_medio	perc0_desvio_padrao	regra_alterada	entropia_regra_alterada
0000000000000000:CIMA	-0,000	0,037	0,037	0,037	0,000	99,609	99,609	99,609	0,000	0000000000000000	-0,000
1111111111111111:CIMA	-0,000	0,037	0,037	0,037	0,000	99,609	99,609	99,609	0,000	1111111111111111	-0,000
1111111100000000:CIMA	0,637	0,137	0,137	0,137	0,000	98,047	98,047	98,047	0,000	1000000001111111	0,637
0000000011111111:CIMA	0,637	0,137	0,137	0,137	0,000	98,047	98,047	98,047	0,000	0111111110000000	0,637
1010101010101010:CIMA	0,250	0,066	0,066	0,066	0,000	99,219	99,219	99,219	0,000	1010101010101010	0,250
0101010101010101:CIMA	0,250	0,066	0,066	0,066	0,000	99,219	99,219	99,219	0,000	0101010101010101	0,250
1100110011001100:CIMA	0,500	0,091	0,091	0,091	0,000	98,828	98,828	98,828	0,000	1001100110011001	0,500
1110001110001100:CIMA	0,726	0,912	0,816	0,881	0,013	67,578	46,875	56,188	3,089	1001100011100011	0,726
1111000011110000:CIMA	0,750	0,194	0,194	0,194	0,000	96,875	96,875	96,875	0,000	1000011110000111	0,750
0110110011010111:CIMA	0,777	0,913	0,833	0,881	0,012	64,844	47,656	56,168	2,944	0111010110011011	0,777
1111010010010101:CIMA	0,812	0,914	0,818	0,881	0,013	65,234	48,047	56,364	2,873	1101010010010111	0,812
0011001011111000:CIMA	0,906	0,914	0,810	0,880	0,013	67,578	45,312	56,307	2,910	0000111110100110	0,906
0001001010011000:CIMA	0,832	0,910	0,831	0,881	0,012	66,016	44,922	56,216	2,830	0000110010100100	0,832
1100001010000111:CIMA	0,875	0,914	0,825	0,881	0,012	67,188	47,656	56,352	2,855	1111000010100001	0,875
1100101001101001:CIMA	0,832	0,912	0,830	0,881	0,013	64,453	46,875	56,063	2,908	1100101100101001	0,832
1111011011000110:CIMA	0,777	0,915	0,826	0,882	0,012	67,188	46,484	56,004	2,984	1011000110110111	0,777
1110111010111001:CIMA	0,789	0,919	0,825	0,881	0,013	66,797	46,484	56,178	3,026	1100111010111011	0,789
0110000110100010:CIMA	0,844	0,917	0,824	0,881	0,013	66,016	45,703	56,309	2,901	0010001011000011	0,844
1110001010100000:CIMA	0,844	0,914	0,775	0,880	0,013	66,406	46,484	56,243	2,911	1000001010100011	0,844
0110111110110011:CIMA	0,746	0,921	0,815	0,881	0,013	65,625	48,047	56,283	2,896	0110011011111011	0,746
1001010011011110:CIMA	0,875	0,917	0,835	0,880	0,013	65,625	46,875	56,374	2,950	1011110110010100	0,875
