Nro pre-imagens: 10
Janela entropia: 2x4
regra	entropia_nucleo_regra	entropia_maxima	entropia_minima	entropia_media	entropia_desvio_padrao	perc0_maximo	perc0_minimo	perc0_medio	perc0_desvio_padrao
0111101110110001:CIMA	3,328	0,910	0,826	0,881	0,012	66,016	44,531	56,185	2,893
0011101100010100:CIMA	3,750	0,916	0,837	0,881	0,012	64,844	46,484	56,252	3,047
1111100111010011:CIMA	3,000	0,908	0,754	0,880	0,013	68,359	48,047	56,443	2,970
0000000101010110:CIMA	2,852	0,911	0,309	0,876	0,028	92,578	46,484	57,107	3,456
0111101100110000:CIMA	3,500	0,918	0,832	0,880	0,012	65,625	48,047	56,302	2,989
1111101100000100:CIMA	3,750	0,921	0,654	0,857	0,036	75,391	48,047	58,917	4,160
1111111111101100:CIMA	2,500	0,905	0,168	0,835	0,055	96,094	52,734	61,750	4,544
1011001110111101:CIMA	3,031	0,917	0,788	0,881	0,013	69,922	47,266	56,284	2,853
1100000110111010:CIMA	3,500	0,910	0,829	0,881	0,012	64,453	44,922	56,170	2,921
0010000101000101:CIMA	2,906	0,912	0,748	0,880	0,013	66,406	47,656	56,386	2,983
0001111101010000:CIMA	3,250	0,910	0,661	0,830	0,047	75,000	46,875	61,117	4,794
0110000011001011:CIMA	3,328	0,911	0,829	0,881	0,012	64,844	46,094	56,239	2,907
1101101111010000:CIMA	3,453	0,917	0,831	0,880	0,012	64,453	47,266	56,370	2,958
0111111010101111:CIMA	2,750	0,908	0,710	0,878	0,017	73,047	47,266	56,718	3,212
1111111101110101:CIMA	2,531	0,893	0,313	0,756	0,074	91,406	53,516	67,595	5,409
0100000001110011:CIMA	3,375	0,915	0,718	0,879	0,016	69,531	43,750	56,527	3,193
1111011100110001:CIMA	3,375	0,912	0,712	0,879	0,015	67,578	45,312	56,476	3,084
1110011110111000:CIMA	3,156	0,909	0,833	0,881	0,012	64,453	47,266	56,189	2,857
1001011111100010:CIMA	3,453	0,910	0,832	0,880	0,012	65,234	46,094	56,263	3,056
