Nro pre-imagens: 10
Janela entropia: 2x4
regra	entropia_nucleo_regra	entropia_maxima	entropia_minima	entropia_media	entropia_desvio_padrao	perc0_maximo	perc0_minimo	perc0_medio	perc0_desvio_padrao
0111101110110001:CIMA	3,328	0,916	0,835	0,880	0,012	64,453	46,484	56,293	2,949
0011101100010100:CIMA	3,750	0,917	0,830	0,881	0,012	68,359	47,656	56,255	2,903
1111100111010011:CIMA	3,000	0,915	0,642	0,880	0,015	73,438	47,266	56,426	3,083
0000000101010110:CIMA	2,852	0,902	0,037	0,718	0,165	99,609	51,562	70,073	9,954
0111101100110000:CIMA	3,500	0,917	0,820	0,881	0,013	65,234	45,312	56,214	2,915
1111101100000100:CIMA	3,750	0,917	0,713	0,861	0,031	72,266	47,656	58,449	3,905
1111111111101100:CIMA	2,500	0,876	0,454	0,819	0,032	86,328	54,297	62,870	3,311
1011001110111101:CIMA	3,031	0,913	0,808	0,880	0,013	66,797	46,875	56,325	2,936
1100000110111010:CIMA	3,500	0,915	0,827	0,881	0,012	65,625	47,656	56,235	2,809
0010000101000101:CIMA	2,906	0,909	0,630	0,878	0,019	76,562	48,828	56,763	3,163
0001111101010000:CIMA	3,250	0,907	0,649	0,844	0,045	76,953	48,828	59,844	4,840
0110000011001011:CIMA	3,328	0,911	0,831	0,881	0,012	65,625	46,875	56,305	2,928
1101101111010000:CIMA	3,453	0,915	0,825	0,881	0,012	65,234	45,312	56,312	2,852
0111111010101111:CIMA	2,750	0,909	0,768	0,879	0,014	68,359	47,656	56,450	3,002
1111111101110101:CIMA	2,531	0,896	0,327	0,785	0,052	89,844	51,953	65,366	4,524
0100000001110011:CIMA	3,375	0,912	0,619	0,875	0,023	76,953	47,656	57,186	3,409
1111011100110001:CIMA	3,375	0,912	0,814	0,880	0,013	66,016	47,266	56,493	2,962
1110011110111000:CIMA	3,156	0,909	0,833	0,881	0,012	66,016	47,656	56,293	2,900
1001011111100010:CIMA	3,453	0,915	0,825	0,880	0,013	66,406	48,438	56,471	2,890
1000011001110000:CIMA	3,375	0,910	0,835	0,881	0,013	64,453	48,438	56,196	2,983
0110010111111100:CIMA	3,375	0,918	0,816	0,881	0,012	66,406	45,312	56,209	2,951
1111111011110001:CIMA	2,781	0,909	0,756	0,874	0,019	69,531	46,484	57,196	3,371
1110101000010010:CIMA	3,500	0,915	0,819	0,880	0,013	65,625	47,656	56,240	2,954
0110011000011010:CIMA	3,156	0,912	0,836	0,881	0,012	64,844	47,266	56,273	2,863
1011111100011110:CIMA	3,250	0,910	0,740	0,877	0,017	70,312	46,484	56,900	3,105
1001011001100101:CIMA	2,733	0,910	0,822	0,881	0,012	66,016	46,094	56,260	2,908
0011101100001010:CIMA	3,750	0,915	0,646	0,880	0,016	74,219	48,047	56,495	2,999
1000110001101000:CIMA	3,031	0,911	0,840	0,881	0,012	65,625	44,531	56,287	2,830
0001010010110111:CIMA	3,625	0,914	0,814	0,880	0,013	69,922	46,484	56,415	2,997
0001100000010010:CIMA	3,000	0,876	0,037	0,458	0,169	99,609	56,641	84,556	7,881
1010111110001110:CIMA	3,375	0,908	0,648	0,850	0,034	75,781	48,047	59,523	3,978
0000000010111011:CIMA	3,149	0,616	0,066	0,542	0,097	99,219	71,484	81,334	5,102
0101110101101111:CIMA	2,906	0,910	0,748	0,879	0,014	69,922	45,312	56,396	3,081
0000111001111101:CIMA	3,500	0,912	0,831	0,881	0,012	65,625	45,312	56,200	3,049
0000111011001110:CIMA	3,375	0,910	0,643	0,873	0,028	75,391	46,484	57,076	3,698
0010111110110101:CIMA	3,375	0,914	0,785	0,879	0,014	66,797	47,656	56,512	3,136
1110110110100010:CIMA	3,281	0,915	0,822	0,880	0,013	66,016	47,656	56,369	2,937
0111100110011010:CIMA	3,156	0,913	0,823	0,881	0,013	65,625	47,266	56,195	2,984
0101101110001101:CIMA	3,375	0,916	0,835	0,880	0,013	64,844	47,656	56,339	2,925
