Nro pre-imagens: 10
Janela entropia: 2x4
Regras versão 2
regra	entropia_nucleo_regra	entropia_maxima	entropia_minima	entropia_media	entropia_desvio_padrao	perc0_maximo	perc0_minimo	perc0_medio	perc0_desvio_padrao	regra_alterada	entropia_regra_alterada
0000000000000000:CIMA	-0,000	0,037	0,037	0,037	0,000	99,609	99,609	99,609	0,000	0000000000000000	-0,000
1111111111111111:CIMA	-0,000	0,037	0,037	0,037	0,000	99,609	99,609	99,609	0,000	1111111111111111	-0,000
1111111100000000:CIMA	0,637	0,134	0,134	0,134	0,000	98,047	98,047	98,047	0,000	1000000001111111	0,637
0000000011111111:CIMA	0,637	0,134	0,134	0,134	0,000	98,047	98,047	98,047	0,000	0111111110000000	0,637
1010101010101010:CIMA	0,250	0,091	0,091	0,091	0,000	98,828	98,828	98,828	0,000	1010101010101010	0,250
0101010101010101:CIMA	0,250	0,091	0,091	0,091	0,000	98,828	98,828	98,828	0,000	0101010101010101	0,250
1100110011001100:CIMA	0,500	0,111	0,111	0,111	0,000	98,438	98,438	98,438	0,000	1001100110011001	0,500
1110001110001100:CIMA	0,726	0,911	0,830	0,881	0,012	65,234	46,094	56,109	2,874	1001100011100011	0,726
1111000011110000:CIMA	0,750	0,147	0,147	0,147	0,000	97,656	97,656	97,656	0,000	1000011110000111	0,750
0110110011010111:CIMA	0,777	0,914	0,836	0,880	0,012	65,234	47,266	56,257	2,933	0111010110011011	0,777
1111010010010101:CIMA	0,812	0,912	0,826	0,881	0,012	64,844	46,875	56,231	2,898	1101010010010111	0,812
0011001011111000:CIMA	0,906	0,913	0,836	0,881	0,012	65,625	43,750	56,130	3,022	0000111110100110	0,906
0001001010011000:CIMA	0,832	0,913	0,688	0,878	0,019	73,828	47,266	56,884	3,159	0000110010100100	0,832
1100001010000111:CIMA	0,875	0,911	0,644	0,878	0,019	75,781	48,438	56,656	3,175	1111000010100001	0,875
1100101001101001:CIMA	0,832	0,911	0,828	0,881	0,012	65,625	46,875	56,163	2,972	1100101100101001	0,832
1111011011000110:CIMA	0,777	0,918	0,668	0,876	0,021	71,484	46,484	56,672	3,406	1011000110110111	0,777
1110111010111001:CIMA	0,789	0,918	0,823	0,881	0,012	67,578	47,266	56,251	2,996	1100111010111011	0,789
0110000110100010:CIMA	0,844	0,915	0,836	0,881	0,012	65,234	46,484	56,157	2,947	0010001011000011	0,844
1110001010100000:CIMA	0,844	0,908	0,232	0,857	0,056	94,922	47,266	58,533	5,116	1000001010100011	0,844
0110111110110011:CIMA	0,746	0,909	0,833	0,881	0,012	66,016	46,875	56,319	2,800	0110011011111011	0,746
1001010011011110:CIMA	0,875	0,918	0,829	0,880	0,013	65,234	47,266	56,270	2,962	1011110110010100	0,875
