Nro pre-imagens: 10
Janela entropia: 2x4
Regras versão 2
regra	entropia_nucleo_regra	entropia_maxima	entropia_minima	entropia_media	entropia_desvio_padrao	perc0_maximo	perc0_minimo	perc0_medio	perc0_desvio_padrao	regra_alterada	entropia_regra_alterada
0000000000000000:CIMA	-0,000	0,037	0,037	0,037	0,000	99,609	99,609	99,609	0,000	0000000000000000	-0,000
1111111111111111:CIMA	-0,000	0,037	0,037	0,037	0,000	99,609	99,609	99,609	0,000	1111111111111111	-0,000
1111111100000000:CIMA	0,637	0,134	0,134	0,134	0,000	98,047	98,047	98,047	0,000	1000000001111111	0,637
0000000011111111:CIMA	0,637	0,134	0,134	0,134	0,000	98,047	98,047	98,047	0,000	0111111110000000	0,637
1010101010101010:CIMA	0,250	0,091	0,091	0,091	0,000	98,828	98,828	98,828	0,000	1010101010101010	0,250
0101010101010101:CIMA	0,250	0,091	0,091	0,091	0,000	98,828	98,828	98,828	0,000	0101010101010101	0,250
1100110011001100:CIMA	0,500	0,111	0,111	0,111	0,000	98,438	98,438	98,438	0,000	1001100110011001	0,500
1110001110001100:CIMA	0,726	0,913	0,832	0,881	0,012	66,016	47,656	56,261	2,988	1001100011100011	0,726
1111000011110000:CIMA	0,750	0,147	0,147	0,147	0,000	97,656	97,656	97,656	0,000	1000011110000111	0,750
0110110011010111:CIMA	0,777	0,910	0,786	0,881	0,012	66,406	47,266	56,171	2,875	0111010110011011	0,777
1111010010010101:CIMA	0,812	0,916	0,783	0,880	0,013	69,922	46,484	56,342	2,971	1101010010010111	0,812
0011001011111000:CIMA	0,906	0,915	0,816	0,881	0,013	67,188	46,875	56,286	2,839	0000111110100110	0,906
0001001010011000:CIMA	0,832	0,916	0,425	0,876	0,030	87,500	46,094	56,798	3,797	0000110010100100	0,832
1100001010000111:CIMA	0,875	0,917	0,681	0,878	0,018	73,438	45,703	56,657	3,220	1111000010100001	0,875
1100101001101001:CIMA	0,832	0,910	0,815	0,881	0,013	66,016	43,750	56,184	3,022	1100101100101001	0,832
1111011011000110:CIMA	0,777	0,908	0,648	0,866	0,027	77,344	48,828	58,208	3,552	1011000110110111	0,777
1110111010111001:CIMA	0,789	0,911	0,835	0,881	0,012	67,188	46,875	56,204	2,822	1100111010111011	0,789
0110000110100010:CIMA	0,844	0,911	0,830	0,881	0,012	65,234	46,094	56,155	2,906	0010001011000011	0,844
1110001010100000:CIMA	0,844	0,915	0,546	0,874	0,028	78,516	44,141	56,971	3,729	1000001010100011	0,844
0110111110110011:CIMA	0,746	0,911	0,832	0,882	0,012	64,453	47,656	56,123	2,880	0110011011111011	0,746
1001010011011110:CIMA	0,875	0,916	0,831	0,881	0,012	66,016	47,656	56,247	2,926	1011110110010100	0,875
